MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Maleč,Havlíčkův Brod,Malči,"49.77207477,15.67686307"
Čavisov,Ostrava-město,Čavisově,"49.82946952,18.08073567"
Křenovice,Přerov,Křenovicích,"49.33042630,17.27264993"
Nová Ves u Leštiny,Havlíčkův Brod,Nové Vsi u Leštiny,"49.78590661,15.40396380"
Grymov,Přerov,Grymově,"49.48101503,17.49803403"
Olešná,Havlíčkův Brod,Olešné,"49.68162007,15.54772642"
Ostružná,Jeseník,Ostružné,"50.18512937,17.05156733"
Mírov,Šumperk,Mírově,"49.79811864,16.84753254"
Rozsochatec,Havlíčkův Brod,Rozsochatci,"49.67258957,15.63384348"
Rybníček,Havlíčkův Brod,Rybníčku,"49.76942038,15.50908740"
Sázavka,Havlíčkův Brod,Sázavce,"49.73445738,15.41147869"
Horní Lhota,Ostrava-město,Horní Lhotě,"49.85303483,18.06842512"
Nové Heřminovy,Bruntál,Nových Heřminovech,"50.02348112,17.52825325"
Štoky,Havlíčkův Brod,Štokách,"49.50253556,15.58866420"
Tis,Havlíčkův Brod,Tisu,"49.70500793,15.49328036"
Úsobí,Havlíčkův Brod,Úsobí,"49.51425138,15.50250525"
Vlkanov,Havlíčkův Brod,Vlkanově,"49.71568026,15.35678628"
Babice,Hradec Králové,Babicích,"50.19214509,15.58558584"
Dolní Bukovsko,České Budějovice,Dolním Bukovsku,"49.17093397,14.58128743"
Malá Bystřice,Vsetín,Malé Bystřici,"49.40939728,18.04854214"
Hluboká nad Vltavou,České Budějovice,Hluboké nad Vltavou,"49.05232881,14.43428320"
Hrdějovice,České Budějovice,Hrdějovicích,"49.01900901,14.47858267"
Chrášťany,České Budějovice,Chrášťanech,"49.29606102,14.38754418"
Žďárek,Liberec,Žďárku,"50.64050525,15.11159132"
Jílovice,České Budějovice,Jílovici,"48.88955678,14.72680392"
Prlov,Vsetín,Prlově,"49.24789714,17.96135880"
Milý,Rakovník,Milém,"50.23275375,13.86711792"
Řeřichy,Rakovník,Řeřichách,"50.07926456,13.58589794"
Rochov,Litoměřice,Rochově,"50.45946753,14.11752847"
Vlkava,Mladá Boleslav,Vlkavě,"50.27139661,14.96140447"
Rohatsko,Mladá Boleslav,Rohatsku,"50.44034438,15.10482896"
Terezín,Litoměřice,Terezíně,"50.51107887,14.15064274"
Veselice,Mladá Boleslav,Veselici,"50.39610607,15.12720438"
Třebenice,Litoměřice,Třebenicích,"50.47640933,13.99014155"
Třebušín,Litoměřice,Třebušíně,"50.59971953,14.20551914"
