KEYWORDS,VARIATIONS
airsoft,
auto,auta
badminton,
balet,baletu
běh,běhu|běžecká|běžecký
děti,dětí
ekologie,
Evropská unie,
filosofie,
fotbal,fotbalem|fotbalová|fotbalový
gastronomie,
historie,
hra,hry
hudba,hudební
informace,
jednání zastupitelstva,
kniha,knihovna|knižní
košíková,
kultura,kulturní
město,města
minifotbal,
motorka,motorky
muzeum,
peníze,
pétanque,petanque
ping-pong,pingpong
pionýr,pionýrský
politika,
práce,
program,programu
prostředí,
příroda,přírodní
rock,rocková|rockový
skaut,skautská|skautský|skautů
služby,služeb
spartak,
společnost,
sport,sportovní
stát,
škola,školy
turistika,turisty|turistická|turistický
úklid,
velikonoce,velikonoční
vesmír,vesmíru
věda,vědecký
víno,vinařská|vinařský|vinná|vinný
voda,vody
vzdělání,
země,
žena,žen|ženy
život,života
